"Project","Issue Type","File Name","Element","Line No","Activity","Comment"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\signin_prompt_view.xml","ImageView","4",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\single_asin_notification.xml","ImageView","5",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\single_asin_notification.xml","ImageView","10",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\single_asin_notification.xml","ImageView","15",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\single_asin_notification.xml","ImageView","19",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\single_asin_notification.xml","ImageView","20",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\single_asin_notification.xml","ImageView","21",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\single_asin_notification.xml","ImageView","22",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\single_asin_notification.xml","ImageView","23",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","Small Text Size","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\single_asin_notification.xml","TextView","24",,"android:textSize:11.0sp"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\size_picker_view.xml","ListView","4",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\sky_search_bar_buttons_component.xml","ImageView","5",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","Small Text Size","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\sky_web_home_bar.xml","TextView","6",,"android:textSize:11.0dip"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\snap_scan_error_message_view.xml","ImageView","4",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\snap_scan_error_view_dialog.xml","ImageView","5",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\snap_scan_error_view_dialog.xml","ImageView","9",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\snap_scan_gift_card_message.xml","ImageView","5",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\snap_scan_layout.xml","ImageView","10",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\snap_scan_results_layout.xml","ImageView","10",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\snap_scan_results_layout.xml","ImageView","11",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\snap_scan_searching_layout_icons.xml","ImageView","4",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","Small Text Size","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\snap_scan_searching_layout_icons.xml","TextView","6",,"android:textSize:9.0sp"
"Amazon Shopping_v12.6.0.100_apkpure.com","Small Text Size","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\snap_scan_searching_layout_icons.xml","TextView","7",,"android:textSize:9.0sp"
